,acc,loss,val_acc,val_loss
0,0.7435,0.8233104366064071,0.925,0.25408816143870355
1,0.902,0.3199482489582151,0.9675,0.0912462521722773
2,0.922625,0.2591959098028019,0.97,0.08177656194078736
3,0.938375,0.20619872639747336,0.98,0.054356421981938186
4,0.94525,0.1818478162831161,0.975,0.05139377946965396
5,0.95025,0.17040200147917495,0.985,0.04417474178946577
6,0.958125,0.1490384851115523,0.99,0.03285608567879535
7,0.965375,0.11466673425049885,0.995,0.016983585064062934
8,0.9625,0.12767414429585916,0.9875,0.03411251016426831
9,0.967,0.11711363160505425,0.9825,0.038836908685334494
10,0.969625,0.10563293301785598,0.9975,0.01574266869472922
11,0.966875,0.10996208198355453,0.9925,0.017773241265567775
12,0.97075,0.10077072072806185,0.9975,0.012788324158173055
13,0.975625,0.08703084711459814,0.9925,0.014471072970482056
14,0.9745,0.08560756868857425,0.995,0.01013167458906537
15,0.975875,0.08496217636157963,0.9975,0.009891081724053946
16,0.97475,0.0831644298513711,1.0,0.006416385447337234
17,0.977875,0.07631548614872737,0.9975,0.009401912628527498
18,0.978375,0.07878400534739194,1.0,0.00529383253393462
19,0.978375,0.0682529176427488,0.9975,0.005471878343832941
