,acc,loss,lr,val_acc,val_loss
0,0.9213883120735686,0.25021376912665805,0.0010000000474974513,0.981333333492279,0.05904751375317573
1,0.9738579056482929,0.08629915653140864,0.0010000000474974513,0.987333333492279,0.04840163302918275
2,0.9789936220706021,0.06700407222358969,0.0010000000474974513,0.9908333333333333,0.029257378541088352
3,0.9827944230198754,0.054968564978045656,0.0010000000474974513,0.993,0.02681590735213831
4,0.9849265796499556,0.049901342597129486,0.0010000000474974513,0.9921666666666666,0.02765443088890364
5,0.9859648472263424,0.04712424320808369,0.0010000000474974513,0.9921666666666666,0.02276856706322481
6,0.9864098190271122,0.042948378221132136,0.0010000000474974513,0.9921666666666666,0.02374209860797661
7,0.9897841886857326,0.03412647690616816,0.0005000000237487257,0.9936666666666667,0.023976865419497093
8,0.9901735389915145,0.03278585741351251,0.0005000000237487257,0.9933333333333333,0.02077567900228314
9,0.9905258083831517,0.03257486573513708,0.0005000000237487257,0.9936666666666667,0.01954298261816924
10,0.9912674280805709,0.027974308018418742,0.0005000000237487257,0.995,0.015040514873476544
11,0.991526994956986,0.028863345533141797,0.0005000000237487257,0.9948333333333333,0.018019194700949204
12,0.9916382379115989,0.02663328867332164,0.0005000000237487257,0.9948333333333333,0.02174577480715622
13,0.9920646692552966,0.02754899714894346,0.0005000000237487257,0.9935,0.019238592445404115
14,0.9924540195964416,0.024786335359070145,0.0002500000118743628,0.994,0.01966229504092189
15,0.9932512607711672,0.022275412663313825,0.0002500000118743628,0.995,0.016876622874294603
16,0.9931956392761792,0.022312528403442108,0.0002500000118743628,0.9946666666666667,0.01777089906652691
17,0.9936962325719371,0.020706354125430634,0.0001250000059371814,0.9946666666666667,0.01692588350418373
18,0.994233906852566,0.018796180237810333,0.0001250000059371814,0.996,0.01619474480279799
19,0.9938445565114209,0.020716522226078466,0.0001250000059371814,0.995,0.017349155424900044
